property_id,sub_building_id,unit_type,lowest_observed_price,standard_lease_price,budget_lower_bound,comparison_status,budget_eligible,price_basis,sqft_min,source_url,trace_unit_id,trace_floorplan_id,trace_available_from,trace_lease_months,trace_rent_basis,trace_base_rent_min,trace_base_rent_max,trace_total_cost_min,trace_total_cost_max,trace_source_ref,trace_source_type,trace_retrieved_at,trace_checked_date
the-taft,,studio,1865,,,unknown_lease,false,base_rent_only,524,https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx,03J,,Aug 15 2026,,per_unit,1865,1865,,,,rentcafe_paste,2026-07-11,2026-07-11
the-taft,,1br,1999,,,unknown_lease,false,base_rent_only,697,https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx,05S,,2026-07-11,,per_unit,1999,1999,,,,rentcafe_paste,2026-07-11,2026-07-11
the-taft,,2br,2950,,,unknown_lease,false,base_rent_only,1200,https://www.rentcafe.com/apartments/ct/new-haven/taft-apartments/default.aspx,01A,,Aug 15 2026,,per_unit,2950,2950,,,,rentcafe_paste,2026-07-11,2026-07-11
pierpont-city-crossing,,studio,2180,,,unknown_lease,false,official_total,537,https://www.rentcafe.com/apartments/ct/new-haven/pierpont-at-city-crossing/default.aspx,424,JR1,2026-07-11,,per_unit,,,2180,7502,,rentcafe_paste,2026-07-11,2026-07-11
pierpont-city-crossing,,1br,2439,,,unknown_lease,false,official_total,695,https://www.rentcafe.com/apartments/ct/new-haven/pierpont-at-city-crossing/default.aspx,103,A3,Aug 3 2026,,per_unit,,,2439,3302,,rentcafe_paste,2026-07-11,2026-07-11
pierpont-city-crossing,,2br,3554,,,unknown_lease,false,official_total,1067,https://www.rentcafe.com/apartments/ct/new-haven/pierpont-at-city-crossing/default.aspx,238,B3,Oct 6 2026,,per_unit,,,3554,3554,,rentcafe_paste,2026-07-11,2026-07-11
the-archive,,studio,,,,inquire_only,false,unknown,,https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/,,,,,,,,,,,entrata_paste,2026-07-11,
the-archive,,1br,2464,,,unknown_lease,false,official_total,503,https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/,,1x1 A,"Aug 12, 2026",,per_unit,,,2464,5117,,entrata_paste,2026-07-11,2026-07-11
the-archive,,2br,3041,,,unknown_lease,false,official_total,631,https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/,,2x2 Balcony A,"Sep 16, 2026",,per_unit,,,3041,5248,,entrata_paste,2026-07-11,2026-07-11
the-archive,,3br,3945,,,unknown_lease,false,official_total,1050,https://entrata.thearchiveapts.com/new-haven/the-archive/conventional/,,3x3 A,2026-07-11,,per_unit,,,3945,7634,,entrata_paste,2026-07-11,2026-07-11
anthem-square10,,1br,2430.25,,,nonstandard_lease_only,false,calculated_total,718,https://www.anthemsquare10.com/floorplans,,A4,2026-07-11,5,per_unit,2325,2325,2430.25,2430.25,,official_paste,2026-07-11,2026-07-11
anthem-square10,,2br,3440.25,,,nonstandard_lease_only,false,calculated_total,1064,https://www.anthemsquare10.com/floorplans,,B2,2026-07-11,5,per_unit,3335,3335,3440.25,3440.25,,official_paste,2026-07-11,2026-07-11
anthem-square10,,studio,1930.25,,,nonstandard_lease_only,false,calculated_total,373,https://www.anthemsquare10.com/floorplans,,S1,2026-07-11,5,per_unit,1825,1825,1930.25,1930.25,,official_paste,2026-07-11,2026-07-11
the-audubon,367 Orange,studio,2450,,,nonstandard_lease_only,false,calculated_total,615,https://www.theaudubonapts.com/floorplans,,Studio-S3.MT,2026-07-11,17,per_unit,2353,2353,2450,2450,,official_paste,2026-07-11,2026-07-11
the-audubon,335 Orange,1br,2869,,,nonstandard_lease_only,false,calculated_total,725,https://www.theaudubonapts.com/floorplans,,1 Bed/1 Bath-A3,2026-07-11,17,per_unit,2777,2777,2869,2869,,official_paste,2026-07-11,2026-07-11
the-audubon,367 Orange,1br,2587,,,nonstandard_lease_only,false,calculated_total,650,https://www.theaudubonapts.com/floorplans,,1 Bed/1 Bath-A3a,2026-07-11,17,per_unit,2490,2490,2587,2587,,official_paste,2026-07-11,2026-07-11
the-audubon,29 Audubon Street,1br,2723,,,nonstandard_lease_only,false,calculated_total,640,https://www.theaudubonapts.com/floorplans,,1 Bed/1 Bath-A5,2026-07-11,17,per_unit,2626,2626,2723,2723,,official_paste,2026-07-11,2026-07-11
the-audubon,367 Orange,2br,3894,,,nonstandard_lease_only,false,calculated_total,1092,https://www.theaudubonapts.com/floorplans,,2 Bed/2 Bath-B1.MT,2026-07-11,17,per_unit,3797,3797,3894,3894,,official_paste,2026-07-11,2026-07-11
the-audubon,29 Audubon Street,2br,3825,,,nonstandard_lease_only,false,calculated_total,1220,https://www.theaudubonapts.com/floorplans,,2 Bed/2 Bath Den-F1_1,2026-07-11,17,per_unit,3728,3728,3825,3825,,official_paste,2026-07-11,2026-07-11
the-audubon,367 Orange,3br,4180,,,nonstandard_lease_only,false,calculated_total,1430,https://www.theaudubonapts.com/floorplans,,3 Bed/2 Bath-C1.MT,2026-07-11,17,per_unit,4083,4083,4180,4180,,official_paste,2026-07-11,2026-07-11
the-audubon,,2br,3934,,,nonstandard_lease_only,false,calculated_total,1030,https://www.theaudubonapts.com/floorplans,,2 Bed/2 Bath-B5.1,2026-07-11,17,per_unit,3842,3842,3934,3934,,official_paste,2026-07-11,2026-07-11
the-audubon,,3br,4952,,,nonstandard_lease_only,false,calculated_total,1390,https://www.theaudubonapts.com/floorplans,,3 Bed/2 Bath-C1,2026-07-11,17,per_unit,4860,4860,4952,4952,,official_paste,2026-07-11,2026-07-11
the-audubon,,studio,2460,,,nonstandard_lease_only,false,calculated_total,575,https://www.theaudubonapts.com/floorplans,,Studio-S1.1,2026-07-11,17,per_unit,2368,2368,2460,2460,,official_paste,2026-07-11,2026-07-11
estelle,,1br,2795,,,unknown_lease,false,base_rent_only,,,,A3,2026-07-11,,per_unit,2795,2795,,,user_paste_2026-07-11,official_paste,2026-07-11,2026-07-11
estelle,,2br,3870,,,unknown_lease,false,base_rent_only,,,,B3,2026-07-11,,per_unit,3870,3870,,,user_paste_2026-07-11,official_paste,2026-07-11,2026-07-11
estelle,,3br,4725,,,unknown_lease,false,base_rent_only,,,,C1,2026-07-11,,per_unit,4725,4725,,,user_paste_2026-07-11,official_paste,2026-07-11,2026-07-11
estelle,,4br,5770,,,unknown_lease,false,base_rent_only,,,,D1,2026-07-11,,per_unit,5770,5770,,,user_paste_2026-07-11,official_paste,2026-07-11,2026-07-11
estelle,,studio,,,,inquire_only,false,unknown,,,,,,,,,,,,user_paste_2026-07-11,official_paste,2026-07-11,
new-haven-towers,madison,studio,1695,,,unknown_lease,false,base_rent_only,,https://newhaventowers.com/floorplans/,madison-studio,madison-studio,,,per_unit,1695,1925,,,,official_paste,2026-07-11,2026-07-11
new-haven-towers,madison,1br,1975,,,unknown_lease,false,base_rent_only,,https://newhaventowers.com/floorplans/,madison-1br,madison-1br,,,per_unit,1975,2375,,,,official_paste,2026-07-11,2026-07-11
new-haven-towers,madison,2br,2895,,,unknown_lease,false,base_rent_only,,https://newhaventowers.com/floorplans/,madison-2br,madison-2br,,,per_unit,2895,3195,,,,official_paste,2026-07-11,2026-07-11
new-haven-towers,crown_towers,studio,1895,,,unknown_lease,false,base_rent_only,,https://newhaventowers.com/floorplans/,crown_towers-studio,crown_towers-studio,,,per_unit,1895,2145,,,,official_paste,2026-07-11,2026-07-11
new-haven-towers,crown_towers,1br,2145,,,unknown_lease,false,base_rent_only,,https://newhaventowers.com/floorplans/,crown_towers-1br,crown_towers-1br,,,per_unit,2145,2495,,,,official_paste,2026-07-11,2026-07-11
new-haven-towers,crown_towers,3br,4195,,,unknown_lease,false,base_rent_only,,https://newhaventowers.com/floorplans/,crown_towers-3br,crown_towers-3br,,,per_unit,4195,4575,,,,official_paste,2026-07-11,2026-07-11
new-haven-towers,crown_court,1br,1995,,,unknown_lease,false,base_rent_only,,https://newhaventowers.com/floorplans/,crown_court-1br,crown_court-1br,,,per_unit,1995,2245,,,,official_paste,2026-07-11,2026-07-11
new-haven-towers,crown_court,2br,2895,,,unknown_lease,false,base_rent_only,,https://newhaventowers.com/floorplans/,crown_court-2br,crown_court-2br,,,per_unit,2895,3195,,,,official_paste,2026-07-11,2026-07-11
new-haven-towers,18_high,studio,2245,,,unknown_lease,false,base_rent_only,,https://newhaventowers.com/floorplans/,18_high-studio,18_high-studio,,,per_unit,2245,2495,,,,official_paste,2026-07-11,2026-07-11
new-haven-towers,18_high,1br,2695,,,unknown_lease,false,base_rent_only,,https://newhaventowers.com/floorplans/,18_high-1br,18_high-1br,,,per_unit,2695,3295,,,,official_paste,2026-07-11,2026-07-11
new-haven-towers,18_high,2br,4095,,,unknown_lease,false,base_rent_only,,https://newhaventowers.com/floorplans/,18_high-2br,18_high-2br,,,per_unit,4095,4795,,,,official_paste,2026-07-11,2026-07-11
360-state,,studio,2372,2372,2372,comparable,true,calculated_total,517,https://www.360statestreet.com/floorplans,APT 705,,Available Now,11,per_unit,2257,2257,2372,2372,,official_page_capture,2026-07-04,2026-07-11
360-state,,1br,2385,2385,2385,comparable,true,calculated_total,582,https://www.360statestreet.com/floorplans,APT 1109,,Available Now,12,per_unit,2270,2270,2385,2385,,official_page_capture,2026-07-04,2026-07-11
360-state,,2br,3628,3628,3628,comparable,true,calculated_total,1012,https://www.360statestreet.com/floorplans,APT 2418,,Available Now,10,per_unit,3513,3513,3628,3628,,official_page_capture,2026-07-04,2026-07-11
360-state,,3br,4822,4822,4822,comparable,true,calculated_total,1256,https://www.360statestreet.com/floorplans,APT 3107,,Available Now,12,per_unit,4707,4707,4822,4822,,official_page_capture,2026-07-04,2026-07-11
axis-201,,studio,1852,,,unknown_lease,false,base_rent_only,345,https://www.apartments.com/axis-201-new-haven-ct/vdv51qf/,0249,,Today,,per_unit,1852,1852,,,,marketplace_capture,2026-07-04,2026-07-11
axis-201,,1br,2445,,,unknown_lease,false,base_rent_only,681,https://www.apartments.com/axis-201-new-haven-ct/vdv51qf/,0331,,Jul 7,,per_unit,2445,2445,,,,marketplace_capture,2026-07-04,2026-07-11
axis-201,,2br,3084,,,unknown_lease,false,base_rent_only,918,https://www.apartments.com/axis-201-new-haven-ct/vdv51qf/,0647,,Today,,per_unit,3084,3084,,,,marketplace_capture,2026-07-04,2026-07-11
axis-201,,3br,4425,,,unknown_lease,false,base_rent_only,1310,https://www.apartments.com/axis-201-new-haven-ct/vdv51qf/,0120,,Today,,per_unit,4425,4425,,,,marketplace_capture,2026-07-04,2026-07-11
olive-wooster,,studio,1808,,,unknown_lease,false,range_including_special,605,https://oliveandwooster.com/availability,226W,,7/10/26,,per_unit,1808,2170,,,,official_page_capture,2026-07-04,2026-07-11
olive-wooster,,1br,1864,,,unknown_lease,false,range_including_special,631,https://oliveandwooster.com/availability,321E,,8/22/26,,per_unit,1864,2237,,,,official_page_capture,2026-07-04,2026-07-11
olive-wooster,,2br,2416,,,unknown_lease,false,range_including_special,967,https://oliveandwooster.com/availability,233W,,8/22/26,,per_unit,2416,3141,,,,official_page_capture,2026-07-04,2026-07-11
olive-wooster,,3br,4019,,,unknown_lease,false,range_including_special,1314,https://oliveandwooster.com/availability,302E,,8/14/26,,per_unit,4019,5828,,,,official_page_capture,2026-07-04,2026-07-11
olive-wooster,,4br,5368,,,unknown_lease,false,base_rent_only,1386,https://oliveandwooster.com/availability,651W,,NOW,,per_unit,5368,5368,,,,official_page_capture,2026-07-04,2026-07-11
olive-wooster,,unspecified,1010,,,unknown_lease,false,unknown,347,https://oliveandwooster.com/availability,Unspecified,,9/2/26,,per_person,1010,1211,,,,official_page_capture,2026-07-04,2026-07-11
the-whit,,studio,2306,,,unknown_lease,false,base_rent_only,591,https://www.apartments.com/the-whit-new-haven-ct/7j5t4nf/,Studio / 591 sqft,,Jun 28 2026,,per_unit,2306,2306,,,,marketplace_capture,2026-07-04,2026-07-11
the-whit,,1br,2475,,,unknown_lease,false,base_rent_only,677,https://www.apartments.com/the-whit-new-haven-ct/7j5t4nf/,1-Bedroom 1-Bathroom / 677 sqft,,Aug 3 2026,,per_unit,2475,2475,,,,marketplace_capture,2026-07-04,2026-07-11
