property_id,sub_building_id,unit_type,lowest_observed_price,standard_lease_price,budget_lower_bound,comparison_status,budget_eligible,price_basis,comparison_policy,comparison_lease_months,availability_scope,comparison_note,sqft_min,source_url,trace_unit_id,trace_floorplan_id,trace_available_from,trace_lease_months,trace_rent_basis,trace_base_rent_min,trace_base_rent_max,trace_total_cost_min,trace_total_cost_max,trace_source_ref,trace_source_type,trace_retrieved_at,trace_checked_date,trace_in_unit_laundry,trace_private_kitchen_bath,trace_flooring_materials_json,trace_furnished_status
360-state,,studio,2372,2372,2372,comparable,true,calculated_total,source_standard_lease,11,current_unit,Official current standard-lease evidence,517,https://www.360statestreet.com/floorplans,APT 705,,Available Now,11,per_unit,2257,2257,2372,2372,,official_page_capture,2026-07-04,2026-07-11,unknown,unknown,[],unknown
360-state,,1br,2385,2385,2385,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,582,https://www.360statestreet.com/floorplans,APT 1109,,Available Now,12,per_unit,2270,2270,2385,2385,,official_page_capture,2026-07-04,2026-07-11,unknown,unknown,[],unknown
360-state,,2br,3628,3628,3628,comparable,true,calculated_total,source_standard_lease,10,current_unit,Official current standard-lease evidence,1012,https://www.360statestreet.com/floorplans,APT 2418,,Available Now,10,per_unit,3513,3513,3628,3628,,official_page_capture,2026-07-04,2026-07-11,unknown,unknown,[],unknown
olive-wooster,,studio,2226,2226,2226,comparable,true,calculated_total,source_standard_lease,12,planning_range,Official current standard-lease evidence,501,https://oliveandwooster.com/availability,,Studio 501 sqft,2026-10-07,12,per_unit,2080,2080,2226,2226,docs/phase_c_evidence/olive-wooster_2026-07-12.md;data/olive_parsed_fixed.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],furnished
olive-wooster,,1br,2376,2376,2376,comparable,true,calculated_total,source_standard_lease,12,planning_range,Official current standard-lease evidence,631,https://oliveandwooster.com/availability,,1bd 631 sqft,2026-07-12,12,per_unit,2230,2325,2376,2471,docs/phase_c_evidence/olive-wooster_2026-07-12.md;data/olive_parsed_fixed.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],furnished
olive-wooster,,2br,2562,2562,2562,comparable,true,calculated_total,source_standard_lease,12,planning_range,Official current standard-lease evidence,967,https://oliveandwooster.com/availability,,2bd 967 sqft,2026-07-12,12,per_unit,2416,2983,2562,3129,docs/phase_c_evidence/olive-wooster_2026-07-12.md;data/olive_parsed_fixed.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],furnished
axis-201,,studio,1935.39,1935.39,1935.39,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,345,https://axis201.com/floor-plans,0249,,2026-07-12,12,per_unit,1852,1852,1935.39,1935.39,docs/phase_c_evidence/axis-201_2026-07-12.md;data/axis_201_availability.md;data/Axis_eBrochure.pdf,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
axis-201,,1br,2528.39,2528.39,2528.39,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,681,https://axis201.com/floor-plans,0331,,2026-07-12,12,per_unit,2445,2445,2528.39,2528.39,docs/phase_c_evidence/axis-201_2026-07-12.md;data/axis_201_availability.md;data/Axis_eBrochure.pdf,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
axis-201,,2br,3274.39,3274.39,3274.39,comparable,true,calculated_total,source_standard_lease,12,current_unit,Official current standard-lease evidence,967,https://axis201.com/floor-plans,0321,,2026-07-12,12,per_unit,3191,3191,3274.39,3274.39,docs/phase_c_evidence/axis-201_2026-07-12.md;data/axis_201_availability.md;data/Axis_eBrochure.pdf,official_page_capture,2026-07-12,2026-07-12,unknown,unknown,[],unknown
the-whit,,studio,2321,2321,2321,comparable,true,calculated_total,source_standard_lease,11,planning_range,Official current standard-lease evidence,591,https://www.scullycompany.com/apartments/new-england/new-haven-county/new-haven/the-whit/,,Studio / 591 sqft,2026-06-28,11,per_unit,2306,2306,2321,2321,docs/phase_c_evidence/the-whit_2026-07-12.md;data/whit_parsed.md,official_paste,2026-07-12,2026-07-12,unknown,unknown,[],unknown
